region,date,mean,median,lower_90,upper_90,lower_50,upper_50
KR,2020-01-27,1.5861917724203207,1.519378038093195,1.0124659833265028,2.2853932591429302,1.0124659833265028,2.2853932591429302
KR,2020-01-28,1.6002618246906608,1.5257354712950821,1.011528519096896,2.2915346972252824,1.011528519096896,2.2915346972252824
KR,2020-01-29,1.6157796947497498,1.5452047568012346,1.0534609499674175,2.3642742736950684,1.0534609499674175,2.3642742736950684
KR,2020-01-30,1.6279902413202274,1.5661275809505177,1.0641002664015817,2.323142199935577,1.0641002664015817,2.323142199935577
KR,2020-01-31,1.6480077620903757,1.5842352985803954,1.0829975510787377,2.3199860612655394,1.0829975510787377,2.3199860612655394
KR,2020-02-01,1.6633326730158446,1.5981466054715971,1.1028981810732696,2.3249017961922673,1.1028981810732696,2.3249017961922673
KR,2020-02-02,1.684381376843703,1.6176900489044197,1.1395004019358939,2.3686419814665634,1.1395004019358939,2.3686419814665634
KR,2020-02-03,1.6973869004566533,1.6246388346964094,1.1425686538013222,2.3589276122054614,1.1425686538013222,2.3589276122054614
KR,2020-02-04,1.708316238388547,1.6498248075208775,1.1500651384639986,2.3781978608944985,1.1500651384639986,2.3781978608944985
KR,2020-02-05,1.7158455247646844,1.6635350406721225,1.202032670538418,2.368560205051598,1.202032670538418,2.368560205051598
KR,2020-02-06,1.7280803844366412,1.6804479723863852,1.2111494189088254,2.3897148212625887,1.2111494189088254,2.3897148212625887
KR,2020-02-07,1.7289231311533853,1.682578609397149,1.169758372852082,2.3084739979653097,1.169758372852082,2.3084739979653097
KR,2020-02-08,1.730388530037318,1.675959241406566,1.1779546101927425,2.306959294336742,1.1779546101927425,2.306959294336742
KR,2020-02-09,1.726971342689757,1.6768173645379145,1.2422193112306543,2.349589013901063,1.2422193112306543,2.349589013901063
KR,2020-02-10,1.7144161737236503,1.6658970732773857,1.253360122957571,2.3370797868854547,1.253360122957571,2.3370797868854547
KR,2020-02-11,1.6970993868797477,1.6482776146359126,1.2276594118010178,2.270984965823064,1.2276594118010178,2.270984965823064
KR,2020-02-12,1.6845589775967855,1.6307270361825883,1.26631198929805,2.3003821994991362,1.26631198929805,2.3003821994991362
KR,2020-02-13,1.6539933859912337,1.6023418325190977,1.1794470880764947,2.176844000061462,1.1794470880764947,2.176844000061462
KR,2020-02-14,1.6200918172196612,1.5738434913364179,1.1843427081229778,2.1414558581944716,1.1843427081229778,2.1414558581944716
KR,2020-02-15,1.5788059475731382,1.5372576429806557,1.1442467625423418,2.106164630396881,1.1442467625423418,2.106164630396881
KR,2020-02-16,1.5382529204201554,1.4902503312282636,1.1434056390513108,2.0189657912573074,1.1434056390513108,2.0189657912573074
KR,2020-02-17,1.494909525427061,1.45587923492463,1.0920572912413482,1.909165446783575,1.0920572912413482,1.909165446783575
KR,2020-02-18,1.4452403978401547,1.40543567374382,1.134578180884524,1.8523453433934827,1.134578180884524,1.8523453433934827
KR,2020-02-19,1.3848894046285478,1.3556702330557915,1.089448701555111,1.7352320613007077,1.089448701555111,1.7352320613007077
KR,2020-02-20,1.3223921873587259,1.2918932091035227,1.0532970555147474,1.6356061734784413,1.0532970555147474,1.6356061734784413
KR,2020-02-21,1.2471578213317804,1.2200197396365864,1.0326995848156588,1.5477152575168212,1.0326995848156588,1.5477152575168212
KR,2020-02-22,1.17676904496468,1.1576425695883188,0.9653545058277384,1.407443626262149,0.9653545058277384,1.407443626262149
KR,2020-02-23,1.1206102187364197,1.1015460006751305,0.917760099340772,1.3482243959298605,0.917760099340772,1.3482243959298605
KR,2020-02-24,1.0519904906660233,1.041675275437191,0.8605439186359827,1.2886423393016448,0.8605439186359827,1.2886423393016448
KR,2020-02-25,0.9737110084645404,0.9776903189975982,0.7778525397474482,1.1739256540636234,0.7778525397474482,1.1739256540636234
KR,2020-02-26,0.8921521378957862,0.9066560552091785,0.6526846873193825,1.0579053302042654,0.6526846873193825,1.0579053302042654
KR,2020-02-27,0.8078567442940018,0.8292207422493911,0.5628374980373773,1.023904110988195,0.5628374980373773,1.023904110988195
KR,2020-02-28,0.727348258469974,0.7577976036379135,0.41222166216342176,0.9584961611487777,0.41222166216342176,0.9584961611487777
KR,2020-02-29,0.6650247581636881,0.7044010667704691,0.32687992573995805,0.923152510909397,0.32687992573995805,0.923152510909397
KR,2020-03-01,0.6298503989189701,0.6702339369489132,0.23928299145975324,0.9223846121411223,0.23928299145975324,0.9223846121411223
KR,2020-03-02,0.5948088231962709,0.6345762721843276,0.1910706616385732,0.8946514082613026,0.1910706616385732,0.8946514082613026
KR,2020-03-03,0.5604882722762977,0.5987285796651032,0.1128019875782395,0.9011742608667961,0.1128019875782395,0.9011742608667961
KR,2020-03-04,0.5450426235704118,0.5888144344235198,0.07704997733688237,0.8892388655294027,0.07704997733688237,0.8892388655294027
KR,2020-03-05,0.5437421474619916,0.5893459533710438,0.11262869324738821,0.9312560251743316,0.11262869324738821,0.9312560251743316
KR,2020-03-06,0.5490342214002489,0.5944272175746874,0.09493679875385294,0.9029273771222752,0.09493679875385294,0.9029273771222752
KR,2020-03-07,0.575760770099148,0.6149354641952487,0.10538326403102466,0.9252843042116182,0.10538326403102466,0.9252843042116182
KR,2020-03-08,0.6199735873993908,0.6674037742000422,0.1802254243403269,0.9651988250531149,0.1802254243403269,0.9651988250531149
KR,2020-03-09,0.6702308098569556,0.7162759682126381,0.23556137523326606,0.9869513255224188,0.23556137523326606,0.9869513255224188
KR,2020-03-10,0.7226719399655397,0.7583040934988621,0.3317953871583996,1.014581787624884,0.3317953871583996,1.014581787624884
