region,date,mean,median,lower_90,upper_90,lower_50,upper_50
AK,2020-04-07,1.0857561155606172,1.0724392434840864,0.47661355652605,1.6374412403691267,0.47661355652605,1.6374412403691267
AK,2020-04-08,1.0757358972567759,1.0622724916213864,0.529949175549927,1.684808578705971,0.529949175549927,1.684808578705971
AK,2020-04-09,1.059382553495712,1.051200023394405,0.4888226161747091,1.611875998046432,0.4888226161747091,1.611875998046432
AK,2020-04-10,1.0510751410827048,1.046700137762552,0.5296623009614632,1.6839330564515311,0.5296623009614632,1.6839330564515311
AK,2020-04-11,1.041187107963611,1.041830768762346,0.39945975821042806,1.5611217422989463,0.39945975821042806,1.5611217422989463
AK,2020-04-12,1.0357263094552374,1.0399946703364145,0.4735721795200109,1.5951141543161917,0.4735721795200109,1.5951141543161917
AK,2020-04-13,1.0324979908214105,1.0350944123611474,0.48906334388778794,1.701618179832931,0.48906334388778794,1.701618179832931
AK,2020-04-14,1.0242506626619812,1.0274374096550032,0.4376800271304179,1.6951016724423345,0.4376800271304179,1.6951016724423345
AK,2020-04-15,1.0109985871233969,1.0242258341258643,0.3916098760347919,1.600276479801066,0.3916098760347919,1.600276479801066
AK,2020-04-16,1.00674660982029,1.0171887018992352,0.4627359274320854,1.7032424254562992,0.4627359274320854,1.7032424254562992
AK,2020-04-17,1.0050519935170346,1.017659450291804,0.3033660522650483,1.5719632712942657,0.3033660522650483,1.5719632712942657
AK,2020-04-18,1.005905069877572,1.0182046185768991,0.37263353540375055,1.6921423803903488,0.37263353540375055,1.6921423803903488
AK,2020-04-19,1.0025843202853901,1.0108893377857986,0.35461232904702705,1.6628533894976527,0.35461232904702705,1.6628533894976527
AK,2020-04-20,1.0045624769204013,1.015120864949396,0.32711318904877,1.6648132521360246,0.32711318904877,1.6648132521360246
AK,2020-04-21,1.008882377705595,1.014632432585239,0.30232997242798704,1.6772649861839883,0.30232997242798704,1.6772649861839883
AK,2020-04-22,1.0097639157767757,1.0195543288756423,0.3566965804475446,1.7335850854679549,0.3566965804475446,1.7335850854679549
AK,2020-04-23,1.011089827442049,1.0197193544344043,0.33568638023431435,1.7749959666439223,0.33568638023431435,1.7749959666439223
AK,2020-04-24,1.019260140174665,1.0180926843405933,0.30266813572837414,1.7327476329256835,0.30266813572837414,1.7327476329256835
AK,2020-04-25,1.0211037516146373,1.01577531275796,0.2553910076488626,1.694960485451028,0.2553910076488626,1.694960485451028
AK,2020-04-26,1.019461036427431,1.0127040093977735,0.37479067770445695,1.7879132572025174,0.37479067770445695,1.7879132572025174
AK,2020-04-27,1.01358176423614,1.007614068111673,0.3280744401000964,1.7047535572208397,0.3280744401000964,1.7047535572208397
AK,2020-04-28,1.0133128316051712,1.0080359718739782,0.2140713727046045,1.6562736836295986,0.2140713727046045,1.6562736836295986
AK,2020-04-29,1.0157319272081744,1.0124659983307813,0.31269249791558773,1.733522856326356,0.31269249791558773,1.733522856326356
AK,2020-04-30,1.010958425325216,1.0100432653249118,0.2702865973021634,1.7200710336700842,0.2702865973021634,1.7200710336700842
AK,2020-05-01,1.0152664627309522,1.0169958749253671,0.28115347458296774,1.7810400877097758,0.28115347458296774,1.7810400877097758
AK,2020-05-02,1.0167392788094893,1.026175877732034,0.2305473697739202,1.7648777862438398,0.2305473697739202,1.7648777862438398
AK,2020-05-03,1.0190568454238622,1.0280249828668757,0.2571653002762927,1.7985162371680476,0.2571653002762927,1.7985162371680476
AK,2020-05-04,1.0222540598053573,1.0219002114984272,0.25988375978104217,1.816184585958565,0.25988375978104217,1.816184585958565
AK,2020-05-05,1.022335421486143,1.0145028195641626,0.2419367053820576,1.8222291911265673,0.2419367053820576,1.8222291911265673
AK,2020-05-06,1.0255285185400218,1.0287589913809123,0.2844766390004068,1.8267602099699005,0.2844766390004068,1.8267602099699005
AK,2020-05-07,1.0246345522801448,1.0177664526847592,0.1744594927797573,1.757102206532043,0.1744594927797573,1.757102206532043
AK,2020-05-08,1.0227304581580086,1.016678634519025,0.06273822808287864,1.7100217765338452,0.06273822808287864,1.7100217765338452
AK,2020-05-09,1.0248428777363041,1.0262940023732665,0.1685213079829064,1.822633128429017,0.1685213079829064,1.822633128429017
AK,2020-05-10,1.0304732506962935,1.0265272320753618,0.2301917364655562,1.8458134550089942,0.2301917364655562,1.8458134550089942
AK,2020-05-11,1.0371300044312022,1.0389868089319454,0.21500987128868645,1.842247342016384,0.21500987128868645,1.842247342016384
AK,2020-05-12,1.0403893004256954,1.0461068827242983,0.2314632428430629,1.8992454680820776,0.2314632428430629,1.8992454680820776
AK,2020-05-13,1.0406807229053547,1.0321937888803627,0.24617241551544863,1.9386742925243827,0.24617241551544863,1.9386742925243827
AK,2020-05-14,1.0457646888538523,1.033832272624397,0.09813409700169368,1.8533705902590512,0.09813409700169368,1.8533705902590512
AK,2020-05-15,1.045508610385446,1.0337274123255407,0.23788073938480447,1.9855020356193693,0.23788073938480447,1.9855020356193693
AK,2020-05-16,1.0423307298463684,1.0267723227379344,0.24186180771917895,2.0382370789563184,0.24186180771917895,2.0382370789563184
AK,2020-05-17,1.0420197303451564,1.0346661408475644,0.04891065026198835,1.869510178432879,0.04891065026198835,1.869510178432879
AK,2020-05-18,1.0437934507735038,1.0287267459820248,0.1568179316120158,2.010586939701723,0.1568179316120158,2.010586939701723
AK,2020-05-19,1.0442337573632259,1.0296674555049756,-0.003154214672734979,1.8415860395140435,-0.003154214672734979,1.8415860395140435
AK,2020-05-20,1.0384335054138203,1.0283285137614877,0.08202697114550213,2.0184422195674796,0.08202697114550213,2.0184422195674796
